Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,0.03,0.033,0.029,0.031,0.031,258600
2017-12-04,0.33,0.403,0.33,0.36,0.36,420600
2017-12-05,0.58,0.738,0.4,0.43,0.43,23100
2017-12-06,0.41,0.41,0.41,0.41,0.41,3400
2017-12-07,0.41,0.41,0.34,0.36,0.36,196500
2017-12-08,0.386,0.386,0.35,0.37,0.37,161400
2017-12-11,0.37,0.37,0.35,0.35,0.35,384700
2017-12-12,0.361,0.385,0.361,0.385,0.385,12800
2017-12-13,0.385,0.385,0.385,0.385,0.385,0
2017-12-14,0.34,0.388,0.34,0.378,0.378,45900
2017-12-15,0.35,0.35,0.35,0.35,0.35,49200
2017-12-18,0.377,0.38,0.377,0.38,0.38,200
2017-12-19,0.37,0.37,0.37,0.37,0.37,1600
2017-12-20,0.37,0.37,0.37,0.37,0.37,0
2017-12-21,0.37,0.37,0.37,0.37,0.37,200
2017-12-22,0.37,0.37,0.37,0.37,0.37,0
2017-12-26,0.37,0.37,0.37,0.37,0.37,0
2017-12-27,0.37,0.37,0.37,0.37,0.37,0
2017-12-28,0.37,0.37,0.37,0.37,0.37,0
2017-12-29,0.37,0.37,0.37,0.37,0.37,0
2018-01-02,0.37,0.37,0.37,0.37,0.37,0
2018-01-03,0.37,0.37,0.37,0.37,0.37,0
2018-01-04,0.37,0.37,0.37,0.37,0.37,0
2018-01-05,0.4,0.7,0.387,0.68,0.68,12400
2018-01-08,0.68,0.68,0.45,0.462,0.462,31200
2018-01-09,0.43,0.43,0.362,0.4,0.4,21900
2018-01-10,0.4,0.406,0.37,0.406,0.406,18500
2018-01-11,0.38,0.38,0.371,0.38,0.38,20900
2018-01-12,0.39,0.4,0.39,0.4,0.4,8700
2018-01-16,0.4,0.4,0.4,0.4,0.4,0
2018-01-17,0.41,0.438,0.41,0.42,0.42,16400
2018-01-18,0.432,0.432,0.432,0.432,0.432,8300
2018-01-19,0.432,0.432,0.432,0.432,0.432,0
2018-01-22,0.432,0.432,0.432,0.432,0.432,0
2018-01-23,0.432,0.432,0.432,0.432,0.432,0
2018-01-24,0.432,0.432,0.432,0.432,0.432,0
2018-01-25,0.432,0.432,0.432,0.432,0.432,0
2018-01-26,0.432,0.432,0.432,0.432,0.432,0
2018-01-29,0.41,0.415,0.4,0.41,0.41,11500
2018-01-30,0.41,0.42,0.41,0.42,0.42,3900
2018-01-31,0.42,0.42,0.4,0.4,0.4,24800
2018-02-01,0.41,0.41,0.394,0.394,0.394,11800
2018-02-02,0.394,0.394,0.394,0.394,0.394,0
2018-02-05,0.394,0.394,0.394,0.394,0.394,0
2018-02-06,0.394,0.394,0.394,0.394,0.394,0
2018-02-07,0.44,0.45,0.43,0.45,0.45,7000
2018-02-08,0.45,0.45,0.45,0.45,0.45,0
2018-02-09,0.45,0.45,0.45,0.45,0.45,0
2018-02-12,0.45,0.45,0.45,0.45,0.45,0
2018-02-13,0.45,0.45,0.45,0.45,0.45,0
2018-02-14,0.45,0.45,0.45,0.45,0.45,0
2018-02-15,0.45,0.45,0.45,0.45,0.45,0
2018-02-16,0.45,0.45,0.45,0.45,0.45,0
2018-02-20,0.45,0.45,0.45,0.45,0.45,0
